file_name,file_path,identifier,file_hash,page_image_hash,page,block_idx,type,text,position,confidence,ticket_number,manifest_number,material_type,truck_number,date,vendor_name,vendor_type,matched_term,ticket_valid,manifest_valid
24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113,c9d252e1b5c5be2eff179c14841704a6540a0142cb79dd4956c8cd9eeaab4772,1,0,printed,587651,"((np.float64(0.82421875), np.float64(0.0674360360532762)), (np.float64(0.9267578125), np.float64(0.11600462147887325)))",1.0,587651,14063620,C,25,-31-25,Tarango,Trucking,469-660-6912,valid,valid
24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113,c9d252e1b5c5be2eff179c14841704a6540a0142cb79dd4956c8cd9eeaab4772,1,0,printed,14063620,"((np.float64(0.21875), np.float64(0.09172032876607472)), (np.float64(0.39453125), np.float64(0.14484221907532152)))",1.0,587651,14063620,C,25,-31-25,Tarango,Trucking,469-660-6912,valid,valid
24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113,c9d252e1b5c5be2eff179c14841704a6540a0142cb79dd4956c8cd9eeaab4772,1,0,printed,PIT TICKET#,"((np.float64(0.267578125), np.float64(0.15394882884262096)), (np.float64(0.349609375), np.float64(0.17671535326086957)))",1.0,587651,14063620,C,25,-31-25,Tarango,Trucking,469-660-6912,valid,valid
24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113,c9d252e1b5c5be2eff179c14841704a6540a0142cb79dd4956c8cd9eeaab4772,1,0,printed,Jaango,"((np.float64(0.4873046875), np.float64(0.0735071092314758)), (np.float64(0.69921875), np.float64(0.18278642643906917)))",1.0,587651,14063620,C,25,-31-25,Tarango,Trucking,469-660-6912,valid,valid
24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113,c9d252e1b5c5be2eff179c14841704a6540a0142cb79dd4956c8cd9eeaab4772,1,0,printed,a usching,"((np.float64(0.5263671875), np.float64(0.17671535326086957)), (np.float64(0.646484375), np.float64(0.21162402403551744)))",1.0,587651,14063620,C,25,-31-25,Tarango,Trucking,469-660-6912,valid,valid
24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113,c9d252e1b5c5be2eff179c14841704a6540a0142cb79dd4956c8cd9eeaab4772,1,0,printed,Truck#,"((np.float64(0.2138671875), np.float64(0.20403518256276792)), (np.float64(0.2578125), np.float64(0.22680170698101654)))",1.0,587651,14063620,C,25,-31-25,Tarango,Trucking,469-660-6912,valid,valid
24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113,c9d252e1b5c5be2eff179c14841704a6540a0142cb79dd4956c8cd9eeaab4772,1,0,printed,25,"((np.float64(0.2939453125), np.float64(0.19341080450091858)), (np.float64(0.341796875), np.float64(0.24197938992651563)))",1.0,587651,14063620,C,25,-31-25,Tarango,Trucking,469-660-6912,valid,valid
24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113,c9d252e1b5c5be2eff179c14841704a6540a0142cb79dd4956c8cd9eeaab4772,1,0,printed,LLG,"((np.float64(0.578125), np.float64(0.2237661703919167)), (np.float64(0.6123046875), np.float64(0.25563930457746475)))",1.0,587651,14063620,C,25,-31-25,Tarango,Trucking,469-660-6912,valid,valid
24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113,c9d252e1b5c5be2eff179c14841704a6540a0142cb79dd4956c8cd9eeaab4772,1,0,printed,1,"((np.float64(0.064453125), np.float64(0.2389438533374158)), (np.float64(0.076171875), np.float64(0.2677814509338641)))",1.0,587651,14063620,C,25,-31-25,Tarango,Trucking,469-660-6912,valid,valid
24-105_2025-05-31_class2_beck_WM_86.pdf,C:\Users\brian.atkins\OneDrive - Lindamood Demolition\24-105 PHMS NPC - Documents\truck tickets\2025-05-31\24-105_2025-05-31_class2_beck_WM_86.pdf,,d729f6f388c28f93ab0df5d989068bd3c0b8436565cd1f497d3d2c657e09e113,c9d252e1b5c5be2eff179c14841704a6540a0142cb79dd4956c8cd9eeaab4772,1,0,printed,137/35,"((np.float64(0.7265625), np.float64(0.1114513165952235)), (np.float64(0.9248046875), np.float64(0.27233475581751376)))",1.0,587651,14063620,C,25,-31-25,Tarango,Trucking,469-660-6912,valid,valid
